Case,OCC_DATE,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
201624653,1/12/2016 0:00,2120,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),25,OTHER/UNKNOWN                                                                  ,1900 BLOCK 29TH ST,3144045,1704157
201670644,1/30/2016 0:00,2000,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,5309,5309-0,HARASSMENT,ANTI-BLACK,14,HOTEL/MOTEL/ETC.                                                               ,100 BLOCK N CLAYTON LN,3153149,1687209
201667555,1/31/2016 0:00,2130,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1205,1205-0,ROBBERY - STREET,ANTI-WHITE,1,AIR/BUS/TRAIN TERMINAL                                                         ,900 BLOCK S BROADWAY ST,3144190,1680279
20165000590,2/17/2016 0:00,1706,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-WHITE,1,AIR/BUS/TRAIN TERMINAL                                                         ,800 BLOCK S BROADWAY ST,3144188,1680515
2016162768,3/14/2016 0:00,1430,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-ISLAMIC,52,SCHOOL - COLLEGE/UNIVERSITY                                                    ,1200 BLOCK 10TH ST,,
2016162768,3/14/2016 0:00,1430,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5016,5016-0,VIOLATION OF RESTRAINING ORDER,ANTI-ISLAMIC,52,SCHOOL - COLLEGE/UNIVERSITY                                                    ,1200 BLOCK 10TH ST,,
2017768445,3/15/2016 0:00,800,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,5309,5309-0,HARASSMENT,ANTI-HISPANIC,25,OTHER/UNKNOWN                                                                  ,1600 BLOCK WEWATTA ST,3139841,1699826
2016190434,3/27/2016 0:00,1230,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-HISPANIC,9,DRUG STORE/DR'S OFFICE/HOSPITAL                                                ,4500 BLOCK E 9TH AVE,3159039,1691869
2016223402,4/10/2016 0:00,49,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,800 BLOCK W ALAMEDA AVE,3141662,1684298
2016277703,5/4/2016 0:00,1505,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,3605,3605-0,INDECENT EXPOSURE,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,21,RESTAURANT                                                                     ,100 BLOCK N STEELE ST,3154674,1687234
2016317371,5/21/2016 0:00,800,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1315,1315-0,AGGRAVATED ASSAULT,ANTI-TRANSGENDER,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,W MISSISSIPPI AVE / S DALE CT,3134631,1679020
2016319472,5/21/2016 0:00,2300,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1205,1205-0,ROBBERY - STREET,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,5100 BLOCK E 29TH AVE,3160922,1701597
2016381311,6/17/2016 0:00,1656,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5309,5309-0,HARASSMENT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),3,BAR/NIGHT CLUB                                                                 ,1500 BLOCK E COLFAX AVE,3149314,1694790
2016404597,6/27/2016 0:00,1535,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),15,JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY                                  ,400 BLOCK W COLFAX AVE,3142418,1694739
2016404597,6/27/2016 0:00,1535,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-MALE HOMOSEXUAL (GAY),15,JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY                                  ,400 BLOCK W COLFAX AVE,3142418,1694739
2016404597,6/27/2016 0:00,1535,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5802,5802-0,CONTRABAND - INTO PRISON,ANTI-MALE HOMOSEXUAL (GAY),15,JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY                                  ,400 BLOCK W COLFAX AVE,3142418,1694739
2016520719,8/16/2016 0:00,1000,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,15,JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY                                  ,1200 BLOCK N YORK ST,3151827,1693663
2016630001,9/30/2016 0:00,0,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1316,1316-0,THREATS TO INJURE,ANTI-TRANSGENDER,20,RESIDENCE/HOME                                                                 ,2100 BLOCK STOUT ST,3144562,1698927
2016630001,9/30/2016 0:00,0,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,5309,5309-0,HARASSMENT,ANTI-TRANSGENDER,20,RESIDENCE/HOME                                                                 ,2100 BLOCK STOUT ST,3144562,1698927
2016629763,10/1/2016 0:00,1520,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1313,1313-0,ASSAULT - SIMPLE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,20TH ST / LARIMER ST,3142665,1699538
